ATT1(float,2);ATT2(float,1);ATT3(string,10);
0.955,0.748;0.555;aaaaaaaaa;
0.625,0.842;0.16;aaa;
0.715,0.13;0.091;aaa;
0.003,0.414;0.0269;aaaaaaaa;
0.938,0.24;0.181;aaaa;
0.887,0.652;0.15;aaaaaaa;
0.386,0.388;0.5;aa;
0.587,0.846;0.59;aaaaaaaaaa;
0.556,0.148;0.983;aaaaa;
0.142,0.565;0.252;aaaaa;
0.464,0.961;0.126;aa;
0.319,0.629;0.127;aaaaaaa;
0.622,0.803;0.248;aaaaa;
0.389,0.203;0.0284;aaaaaaaaaa;
0.426,0.142;0.947;aaaaa;
0.131,0.886;0.0922;aa;
0.0711,0.365;0.253;aa;
0.783,0.455;0.35;aaaaa;
0.809,0.932;0.652;aaa;
0.68,0.909;0.25;aaaaaaaaa;
0.471,0.506;0.6;aaaaaaaaa;
0.756,0.462;0.951;aaaaaaa;
0.439,0.825;0.689;aaaaaaaa;
0.987,0.954;0.851;aaa;
0.537,0.514;0.103;aaaaa;
0.577,0.877;0.44;aaaaaaaa;
0.869,0.716;0.801;aaaaaaaa;
0.742,0.0191;0.886;aaaaaa;
0.463,0.0652;0.713;aaaaa;
0.668,0.682;0.2;aaaaaaaaaa;
0.866,0.89;0.544;aa;
0.45,0.989;0.216;aaaaa;
0.316,0.515;0.882;aaaaa;
0.468,0.807;0.365;aaa;
0.999,0.154;0.63;aaaaaaa;
0.000595,0.000879;0.773;aaaaaaaa;
0.319,0.418;0.682;aaaaaaa;
0.205,0.836;0.709;aaaaaaaaa;
0.0945,0.0817;0.764;aaaaaaa;
0.214,0.214;0.0811;aaaa;
0.952,0.948;0.39;aaa;
0.692,0.284;0.777;aaaaaaaa;
0.422,0.282;0.194;a;
0.192,0.983;0.244;aaaaaaaaa;
0.136,0.398;0.601;aa;
0.828,0.158;0.988;aaa;
0.234,0.102;0.219;aaaaaaa;
0.696,0.795;0.696;aaaaaaaa;
0.67,0.633;0.0564;aaaaaa;
0.227,0.319;0.7;aa;
0.763,0.526;0.554;aaaaaa;
0.33,0.703;0.143;aa;
0.485,0.86;0.813;aaaaaa;
0.739,0.316;0.135;aaaaaa;
0.311,0.588;0.518;aaaaa;
0.259,0.37;0.393;aaaaa;
0.476,0.388;0.279;a;
0.37,0.254;0.672;aaaaaaa;
0.514,0.729;0.721;aaaaaaaaaa;
0.461,0.94;0.322;aaaaa;
0.517,0.661;0.402;aaaaaaa;
0.987,0.15;0.67;aaaa;
0.542,0.523;0.829;a;
0.274,0.643;0.546;aaaaaaaaaa;
0.267,0.97;0.247;aaaaaaaaa;
0.694,0.456;0.817;a;
0.161,0.707;0.708;aaaaa;
0.582,0.752;0.992;aaaaaaa;
0.28,0.754;0.171;a;
0.496,0.0799;0.163;aaaaaaaaaa;
0.783,0.747;0.436;a;
0.585,0.518;0.0668;aaaaaa;
0.39,0.216;0.386;aaaaaaa;
0.659,0.709;0.539;aaa;
0.816,0.372;0.686;aaaa;
0.00935,0.104;0.521;aaaaaaaa;
0.221,0.0553;0.0706;aa;
0.724,0.297;0.0506;aaaaa;
0.457,0.52;0.446;aa;
0.286,0.834;0.696;aaaaaa;
0.681,0.331;0.0575;aaaaaaaaaa;
0.542,0.00166;0.856;a;
0.378,0.49;0.576;aaaaaaaa;
0.679,0.536;0.0356;aa;
0.973,0.188;0.351;aaaaaaa;
0.608,0.126;0.553;aaaaaaaaaa;
0.357,0.838;0.974;aaa;
0.252,0.424;0.813;aaaaaaaaa;
0.245,0.761;0.695;aaaaa;
0.264,0.666;0.117;aaa;
0.114,0.547;0.00608;aa;
0.599,0.432;0.0825;aaaaaaa;
0.375,0.836;0.124;aaaaaaaaaa;
0.0296,0.0804;0.494;aaaaaaaa;
0.934,0.25;0.36;aaaaaaaa;
0.5,0.749;0.672;aaaaaaa;
0.757,0.0364;0.231;aaa;
0.563,0.653;0.617;aaaa;
0.225,0.234;0.653;aa;
0.744,0.16;0.0476;aaaaaaa;
