ATT1(float,1);ATT2(float,1);ATT3(string,10);
0.951;0.0299;a;
0.846;0.991;aaaaaa;
0.912;0.179;aaa;
0.0526;0.614;aaaaaaaa;
0.504;0.968;a;
0.755;0.706;aaaaaaa;
0.713;0.424;aa;
0.208;0.998;aaaaaaaaa;
0.943;0.822;aaaaaaaa;
0.405;0.0993;aaaaaa;
0.784;0.641;aaaaaa;
0.506;0.619;aaaaaaaaaa;
0.315;0.765;a;
0.851;0.297;aaaaaaaaaa;
0.608;0.481;a;
0.121;0.299;aaaaa;
0.698;0.868;aaaa;
0.781;0.941;aaaaaaaaa;
0.143;0.231;aaaaaaa;
0.0582;0.452;aaaaaaaaaa;
0.72;0.697;a;
0.298;0.849;aaaaaaa;
0.229;0.855;aaaaaaa;
0.387;0.619;aaaaaaaa;
0.0417;0.376;aaaaaaa;
0.688;0.755;aaaaaaaaaa;
0.916;0.728;aaaaaaaa;
0.896;0.756;aaaaaaa;
0.138;0.18;aaaaaaaaa;
0.42;0.564;aaaaaaaaa;
0.309;0.344;aaaaaaa;
0.162;0.354;aaaaaa;
0.521;0.371;aaaaaaaaa;
0.902;0.597;aaaaaaaa;
0.706;0.524;aaaaaa;
0.0756;0.729;aaaaaaaaa;
0.249;0.82;aaaaaaaaaa;
0.176;0.0384;aaaaaaaaa;
0.881;0.762;a;
0.0685;0.355;aa;
0.739;0.64;aaaaaaa;
0.259;0.103;aaa;
0.979;0.933;aa;
0.509;0.683;aaaaaaaa;
0.276;0.175;aaaaa;
0.975;0.17;aaaa;
0.236;0.388;aaaaaaaa;
0.87;0.521;aa;
0.882;0.648;aaaaaaaaaa;
0.93;0.89;aa;
0.34;0.813;aaaaaaaaa;
0.298;0.228;aaaaaaaaa;
0.0321;0.999;aaaa;
0.498;0.903;aaa;
0.451;0.762;aaaaaaa;
0.559;0.633;a;
0.408;0.492;aaaaaaaaa;
0.535;0.3;aaaaa;
0.564;0.626;aa;
0.371;0.00769;aaaaa;
0.875;0.477;aaaaaa;
0.397;0.836;aaaaaaa;
0.585;0.628;aa;
0.6;0.721;aaaaaa;
0.9;0.382;aa;
0.734;0.274;aaaaaa;
0.154;0.268;aaaaa;
0.725;0.15;aaaaaaaaaa;
0.203;0.34;aaaaaaaaaa;
0.745;0.14;aaa;
0.767;0.895;aaaaaaaaa;
0.107;0.065;aaaaaaa;
0.808;0.196;aa;
0.054;0.72;aaaaaaaaa;
0.385;0.561;a;
0.516;0.788;aaaaaaaaa;
0.464;0.308;aaaaaaa;
0.978;0.973;aaaaaaaa;
0.312;0.667;aaaaaaaa;
0.66;0.43;a;
0.957;0.835;aaaaaaaaaa;
0.0593;0.723;a;
0.941;0.151;a;
0.388;0.515;aaaaa;
0.298;0.178;aaaaaaaa;
0.14;0.804;aaaaaaaaa;
0.809;0.711;aaaa;
0.382;0.17;aaaa;
0.785;0.508;aaaaaaaa;
0.258;0.45;aaaaaaaaaa;
0.838;0.829;aaaaa;
0.37;0.917;aaa;
0.861;0.803;aaaa;
0.137;0.609;aa;
0.442;0.0113;aaaaaaaaaa;
0.895;0.724;aaaaaaaa;
0.282;0.939;aaaaaaaa;
0.303;0.104;aaaaaa;
0.625;0.438;aaaaa;
0.963;0.069;aaaa;
