ATT1(float,1);ATT2(float,1);ATT3(string,10);
0.597;0.716;aaa;
0.247;0.14;aaaa;
0.0519;0.596;aaa;
0.631;0.0795;aaaaaaaaa;
0.14;0.914;aaaa;
0.166;0.973;aaaaaaaaa;
0.232;0.5;aaaaaaaaaa;
0.903;0.704;aaa;
0.764;0.363;aaaaaa;
0.452;0.88;aaaaaaaa;
0.955;0.203;aaa;
0.949;0.447;aa;
0.8;0.448;a;
0.689;0.861;a;
0.313;0.995;aaaaaa;
0.163;0.766;aaaaaaaaaa;
0.505;0.156;aaaaa;
0.303;0.315;aa;
0.885;0.86;aaaaaaaaa;
0.0783;0.0173;aaaaaa;
0.236;0.298;aaaaaaaaa;
0.875;0.333;aa;
0.586;0.737;aa;
0.321;0.8;aaaaaaaa;
0.00104;0.926;aaaaaaaaa;
0.537;0.622;aaa;
0.274;0.455;a;
0.244;0.18;aaaaa;
0.0628;0.61;aaaaaaaaaa;
0.102;0.63;aaa;
0.87;0.772;aaaaaaaaa;
0.854;0.561;aaaaaaaa;
0.63;0.681;aaaaaa;
0.563;0.777;aaaaaa;
0.316;0.151;aaaaaa;
0.821;0.196;aaaaaaa;
0.418;0.151;aaaaaa;
0.045;0.996;aaaaaaa;
0.323;0.761;aaaaaaaaa;
0.504;0.102;aaaaaa;
0.349;0.378;aaaaaa;
0.803;0.645;aaaaaaa;
0.551;0.976;aaa;
0.238;0.796;a;
0.394;0.658;aaaa;
0.32;0.409;aa;
0.621;0.742;aaaaaaaaaa;
0.484;0.0548;aaaaaaaa;
0.56;0.46;aaaa;
0.982;0.438;aaaaaaa;
0.0738;0.6;aaaaaaaa;
0.278;0.335;aa;
0.631;0.483;aaaa;
0.781;0.873;aaa;
1;0.745;aaaaa;
0.406;0.635;aa;
0.603;0.375;aa;
0.361;0.208;aaaaaaa;
0.935;0.825;aaaaa;
0.926;0.82;a;
0.0845;0.164;aaaaaaaaa;
0.201;0.785;aaaaaaa;
0.846;0.988;a;
0.828;0.708;a;
0.741;0.8;aaaaa;
0.366;0.545;aaa;
0.346;0.891;aaaaa;
0.446;0.592;aaaaaaaaa;
0.677;0.611;aaaaaaaaa;
0.469;0.235;aaaaaaaaaa;
0.248;0.36;aaaa;
0.97;0.997;a;
0.367;0.296;aaaaaaa;
0.245;0.555;aaaaaaaa;
0.137;0.909;aaaaa;
0.0559;0.926;aa;
0.165;0.467;aaaaaaaaaa;
0.306;0.574;aaaaaaaa;
0.761;0.923;aaaaaaaaa;
0.683;0.679;aaaaa;
0.429;0.717;a;
0.106;0.126;aaaaaaa;
0.461;0.675;aaaaaaaaaa;
0.52;0.329;aaaa;
0.406;0.0383;aaaaaaaa;
0.576;0.923;aaaaa;
0.341;0.352;aa;
0.825;0.147;aaaaa;
0.906;0.295;aaaa;
0.987;0.785;aaaaaaaaaa;
0.716;0.423;aaaaaaaaa;
0.953;0.567;aaa;
0.707;0.138;aaaaaaaaaa;
0.276;0.601;aaaaaaaaa;
0.875;0.568;aaaaaaa;
0.248;0.526;aaaaaaaaa;
0.752;0.535;aaaaaaaa;
0.985;0.931;a;
0.731;0.357;aaaaaaa;
0.568;0.175;aaaaaaa;
0.259;0.382;aaaaa;
