ATT1(float,2);ATT2(float,1);ATT3(string,10);
0.845,0.312;0.749;aaaa;
0.578,0.129;0.993;aaaaa;
0.408,0.961;0.0932;aaaaaaaaaa;
0.916,0.0247;0.866;aaa;
0.343,0.832;0.915;aaaa;
0.163,0.158;0.479;aaaaaaaa;
0.459,0.326;0.357;aaaaaa;
0.67,0.37;0.678;a;
0.341,0.763;0.333;aaaaaaa;
0.46,0.937;0.572;aaaaaaaaaa;
0.103,0.957;0.921;aaaaaaa;
0.696,0.35;0.245;aa;
0.0707,0.497;0.99;aaaaaaa;
0.0294,0.606;0.526;a;
0.266,0.243;0.509;aaaaaa;
0.682,0.176;0.512;aaaa;
0.659,0.363;0.0156;aaaaaaa;
0.813,0.0538;0.327;aaaaaaa;
0.183,0.502;0.709;aaa;
0.231,0.986;0.162;aaaa;
0.769,0.271;0.897;aaa;
0.00734,0.898;0.69;aaaaaa;
0.479,0.0795;0.12;aaaaaa;
0.659,0.996;0.248;aaaaaaa;
0.353,0.909;0.205;aaaaaaaaa;
0.586,0.802;0.967;aaaaaaaaaa;
0.376,0.0131;0.0423;aa;
0.175,0.369;0.836;aaaaaaaaa;
0.771,0.309;0.297;aaaaaaaaaa;
0.743,0.333;0.412;a;
0.794,0.913;0.0712;aaa;
0.598,0.24;0.414;aaaaaaa;
0.583,0.089;0.037;aaa;
0.191,0.934;0.0333;aaaaaa;
0.501,0.166;0.753;aa;
0.959,0.529;0.563;aaaaaa;
0.0726,0.557;0.953;aaaaaaaaaa;
0.845,0.819;0.825;aaaaaaaaa;
0.431,0.515;0.967;aaa;
0.58,0.713;0.0879;aaaaaaaaaa;
0.725,0.715;0.497;aaaaa;
0.507,0.545;0.0356;aaaaa;
0.783,0.0574;0.459;aaaaaaaaaa;
0.105,0.337;0.663;aaaaaa;
0.186,0.77;0.27;aaaaaaaa;
0.456,0.218;0.206;aaaaa;
0.677,0.972;0.848;aaaaa;
0.889,0.00275;0.233;aaaa;
0.31,0.408;0.0218;aaaaaaaaa;
0.341,0.401;0.546;aaaaaaaa;
0.644,0.515;0.118;aaaaaaaaa;
0.0216,0.164;0.0817;aaa;
0.875,0.203;0.392;aaa;
0.633,0.398;0.899;aaa;
0.677,0.482;0.403;aaaaaaaa;
0.0198,0.0523;0.218;aaaaaaaa;
0.186,0.261;0.368;a;
0.513,0.638;0.832;a;
0.957,0.25;0.501;aaaa;
0.545,0.994;0.0422;aaaaaaaaa;
0.314,0.757;0.432;aa;
0.215,0.973;0.972;a;
0.141,0.702;0.0203;aa;
0.491,0.195;0.438;aaaaaaa;
0.668,0.519;0.304;aaaaa;
0.742,0.551;0.89;aaaaaaa;
0.164,0.938;0.398;aaaaaaa;
0.763,0.102;0.633;aaaaaaaaa;
0.602,0.183;0.216;aaaaaaa;
0.737,0.295;0.778;aaa;
0.268,0.658;0.64;aaaaa;
0.729,0.647;0.236;aaaaaa;
0.943,0.579;0.149;aaaaaaaa;
0.688,0.487;0.315;aaaaaaa;
0.254,0.475;0.312;aaaaaaaa;
0.0868,0.202;0.0502;a;
0.839,0.877;0.672;aaaaaaaaa;
0.65,0.793;0.751;aa;
0.895,0.207;0.785;aaaaaaaa;
0.884,0.74;0.947;a;
0.53,0.315;0.0662;aaaaaaaa;
0.407,0.428;0.754;a;
0.46,0.118;0.876;aaaaaa;
0.723,0.128;0.232;aaaa;
0.611,0.297;0.373;aaaa;
0.208,0.536;0.3;aaaaaaaaa;
0.634,0.463;0.941;aaaaaa;
0.047,0.282;0.989;aaaa;
0.747,0.485;0.558;aa;
0.658,0.236;0.405;aa;
0.241,0.409;0.133;aaa;
0.975,0.13;0.305;a;
0.00456,0.996;0.548;aaaaaaa;
0.806,0.841;0.647;aaaaaaaaa;
0.999,0.566;0.0581;aaaaaa;
0.632,0.194;0.659;aa;
0.0133,0.168;0.249;aaaaaaaaa;
0.508,0.418;0.988;aaaaaaaaa;
0.619,0.872;0.602;aaaaaaa;
0.628,0.215;0.28;aaaaaa;
0.653,0.867;0.364;aaaaaaaaa;
0.715,0.861;0.791;aa;
0.0953,0.426;0.164;aaaaa;
0.0596,0.361;0.407;aaaaaaaa;
0.0953,0.426;0.164;a;
