ATT1(float,1);ATT2(float,1);ATT3(string,10);
0.969;0.964;aaaaa;
0.626;0.795;aaaaaa;
0.88;0.585;aaa;
0.477;0.271;a;
0.676;0.353;aaaaaaaa;
0.124;0.964;a;
0.487;0.0246;aa;
0.543;0.323;aaaaaaaaaa;
0.0275;0.514;aaaaaaaaaa;
0.109;0.758;aaaa;
0.143;0.844;aaaaaa;
0.705;0.0845;aaaaa;
0.619;0.172;aaaaaaaaaa;
0.129;0.204;aaaaaaa;
0.539;0.894;aaaaa;
0.587;0.197;aaaaaaaa;
0.937;0.711;aaaaa;
0.849;0.954;aaaaaaaaa;
0.549;0.638;aaaaaa;
0.653;0.507;aaaaaaaaaa;
0.708;0.864;aa;
0.189;0.579;aaa;
0.112;0.122;aaaaaaa;
0.94;0.167;aaaaa;
0.801;0.0303;a;
0.733;0.533;aaaaaaaaa;
0.821;0.488;aaaaaaaaaa;
0.33;0.497;aaaaaaaaa;
0.0557;0.576;aaaa;
0.932;0.685;aaaaaaaa;
0.0784;0.532;aaaaaaaaa;
0.741;0.248;aaaaaaaaaa;
0.238;0.374;aaaaaa;
0.363;0.411;aaaaaaaaaa;
0.411;0.546;aaaaaaaaaa;
0.799;0.0173;aaaa;
0.236;0.685;aaaaaaa;
0.213;0.199;aaaaaaaaa;
0.801;0.987;aaa;
0.569;0.324;a;
0.336;0.434;aa;
0.994;0.809;aaa;
0.665;0.741;aaaaaaaaa;
0.962;0.258;a;
0.428;0.718;aaaaaaaa;
0.754;0.3;aaa;
0.426;0.0472;aaaaa;
0.736;0.558;aaaa;
0.788;0.376;aaa;
0.665;0.147;aaa;
0.671;0.846;aaaaaa;
0.0547;0.362;aaaaaa;
0.196;0.351;aaaaaaa;
0.411;0.491;aaa;
0.984;0.668;aaaaaa;
0.206;0.858;aaaaaaaaaa;
0.0504;0.377;a;
0.617;0.962;aaaaaaaaa;
0.833;0.66;aaaaaa;
0.189;0.386;aaaa;
0.724;0.652;aaaaaaa;
0.529;0.926;aa;
0.831;0.336;aaa;
0.536;0.702;aaaaaaaa;
0.11;0.335;aa;
0.485;0.111;aaaa;
0.757;0.113;aaaaaaaa;
0.48;0.123;aaa;
0.412;0.59;a;
0.481;0.586;aaa;
0.313;0.949;a;
0.554;0.516;aaa;
0.37;0.474;a;
0.00736;0.0994;aaa;
0.204;0.256;a;
0.476;0.216;aaaaaaaaa;
0.796;0.289;aaaaaaa;
0.171;0.332;aa;
0.141;0.445;aaaa;
0.271;0.349;aaaaaaa;
0.745;0.82;aaaaa;
0.962;0.143;aaaaa;
0.0567;0.991;aaaaaaaaaa;
0.401;0.622;aaaaaaa;
0.543;0.12;aaaaaaaa;
0.504;0.999;aaaaa;
0.57;0.505;aaaaaaaaaa;
0.161;0.654;aaaaaa;
0.402;0.338;aaaa;
0.148;0.362;aaa;
0.483;0.615;aaaaaaaaaa;
0.0717;0.291;aaaaa;
0.659;0.169;aaaa;
0.598;0.138;aa;
0.00411;0.774;aaaaaaaa;
0.609;0.998;aaaaaaa;
0.839;0.75;aaaaa;
0.526;0.4;aaaaa;
0.417;0.277;aaa;
0.695;0.739;a;
0.226;0.809;aaaaaa;
0.849;0.157;aaaaaa;
0.376;0.901;aaaaaaaaa;
0.269;0.778;aaaaaaaaaa;
0.745;0.929;aaaaaaa;
0.457;0.753;a;
0.586;0.0453;aaaaaa;
0.469;0.765;a;
0.232;0.285;aaaaaaaaaa;
0.122;0.78;aaaaaa;
0.285;0.966;aaaaaaa;
0.835;0.855;aaaaaaaa;
0.186;0.196;aaaaaaaaa;
0.858;0.475;aa;
0.56;0.952;aaa;
0.876;0.786;a;
0.0619;0.58;aaaaaa;
0.84;0.433;aaaaaaaaa;
0.969;0.421;aa;
0.153;0.24;aaaaaaaaaa;
0.365;0.815;a;
0.565;0.749;aaaaaaa;
0.0901;0.851;aaaaaaa;
0.0939;0.211;aaaaaaa;
0.009;0.156;aa;
0.458;0.394;aaaaaa;
0.485;0.476;aaaaaa;
0.174;0.169;aaaaaaa;
0.327;0.773;aaaaaaaaa;
0.184;0.931;aaaaaaaaa;
0.173;0.855;aaaa;
0.917;0.686;aaa;
0.149;0.106;aaaa;
0.217;0.0937;aaaaa;
0.474;0.73;aaaaaa;
0.0824;0.494;aaaaaaaaa;
0.321;0.675;aaaaaaa;
0.633;0.984;aaaaaaaa;
0.166;0.565;aaaa;
0.0164;0.918;aaaaaaaa;
0.8;0.788;aaaaa;
0.946;0.67;aaa;
0.784;0.584;aaa;
0.74;0.805;aaaaaaa;
0.184;0.51;aaa;
0.398;0.781;aaaaa;
0.424;0.19;aaaaaaa;
0.647;0.435;aaaaa;
0.319;0.631;aa;
0.927;0.641;aaaaaaaa;
0.458;0.764;aaaaaaaaaa;
