ATT1(float,1);ATT2(float,1);ATT3(string,10);
0.841;0.654;aaaaaaaaaa;
0.0248;0.886;aaaaaaaaaa;
0.494;0.745;aaaaaaa;
0.952;0.174;aaaaaaaaa;
0.588;0.385;aaaa;
0.142;0.05;aaaaaa;
0.972;0.715;aaa;
0.552;0.742;aaaaaa;
0.857;0.605;aaaaaaa;
0.801;0.125;aaaaaaaa;
0.673;0.0848;aaaaa;
0.296;0.366;aa;
0.145;0.387;aa;
0.015;0.868;aaa;
0.0816;0.957;aaaaaaa;
0.925;0.473;aaaa;
0.539;0.133;aaaaaaaaa;
0.107;0.176;aaaaaaaaaa;
0.778;0.862;aaaaaaaa;
0.543;0.648;aaaaaaaaa;
0.46;0.184;aaaaaaaaaa;
0.267;0.0312;aaaaa;
0.582;0.532;aaaaa;
0.177;0.159;aaaaaaaaa;
0.602;0.435;aaaaaaa;
0.362;0.0663;aaaaaaa;
0.0547;0.748;aaaaaaaaa;
0.749;0.783;a;
0.0209;0.796;aaaaaaa;
0.846;0.793;aaaaaaaa;
0.264;1;aaaaaa;
0.555;0.309;aaaa;
0.562;0.336;aaaaaaaaa;
0.331;0.846;aaaaaaaa;
0.53;0.209;aaaa;
0.635;0.0554;aaa;
0.719;0.435;aaaaaaaaa;
0.787;0.205;a;
0.961;0.619;aaaaaaaaaa;
0.097;0.289;aaaa;
0.124;0.638;aaaaaaaaa;
0.33;0.134;aaaaaa;
0.193;0.204;aaa;
0.0929;0.891;aaa;
0.286;0.545;aaaaaaaaaa;
0.136;0.907;a;
0.406;0.244;aaaaaa;
0.63;0.22;aaaaa;
0.637;0.226;aaa;
0.552;0.00143;aa;
0.581;0.648;aaaa;
0.287;0.399;aaaa;
0.968;0.0121;a;
0.8;0.468;aaaaaaa;
0.222;0.225;aaaaaa;
0.107;0.544;aaaaaa;
0.347;0.178;aaaaaa;
0.944;0.0743;aaaaaaaaa;
0.88;0.343;aaaa;
0.0979;0.412;aaaa;
0.367;0.299;aaaaaaaaaa;
0.643;0.413;aa;
0.436;0.9;aaaa;
0.403;0.399;aaaaaa;
0.572;0.897;aaa;
0.256;0.712;aaaaaaaaa;
0.115;0.0394;aaaaaaaa;
0.914;1;aaaaaaaaa;
0.375;0.731;aaaaaaa;
0.029;0.804;aaaa;
0.193;0.4;aa;
0.933;0.276;aaa;
0.141;0.947;aa;
0.463;0.402;aa;
0.727;0.0414;aaa;
0.637;0.266;a;
0.944;0.167;aaaaa;
0.115;0.418;aaaa;
0.801;0.935;aaaaaaaa;
0.64;0.447;aaaaaaaa;
0.549;0.283;aaaaaaaaa;
0.42;0.707;aaaaaaaaa;
0.333;0.219;a;
0.822;0.995;aaaaaaa;
0.675;0.0336;aaa;
0.558;0.769;aaaa;
0.655;0.895;aaaaa;
0.623;0.384;aaaaaaaaaa;
0.663;0.861;aaaa;
0.664;0.263;aaaa;
0.318;0.584;aaaaaaaa;
0.783;0.317;a;
0.0128;0.489;aaaaaaaaaa;
0.0999;0.135;aaaaaa;
0.77;0.566;aaaaaaaa;
0.258;0.951;aaaaaaa;
0.674;0.671;aaa;
0.807;0.788;aa;
0.756;0.162;aaaaaa;
0.563;0.8;aaaaaaaa;
0.993;0.502;aaaaaaa;
0.993;0.502;aaaa;
0.738;0.97;a;
0.0866;0.0274;aa;
0.993;0.502;aaaaaa;
0.993;0.502;aaaaaaa;
0.738;0.97;aaaa;
0.191;0.447;a;
0.993;0.502;aaaaaaaaa;
